Bedroom,Bathroom,Property Size,Nearby School,Nearby Mall,Tenure Type,Property Type,Parking Lot,Bus Stop,Mall,Park,School,Hospital,price,Highway,Nearby Railway Station,Railway Station
3.0,2.0,675.0,0,0,1,0,1.0,0,0,0,0,0,97999.0,0,0,0
3.0,2.0,610.0,0,0,1,3,1.0,0,0,0,0,0,128000.0,0,0,0
3.0,2.0,850.0,0,0,0,0,1.0,0,0,0,0,0,230000.0,0,0,0
3.0,2.0,1000.0,0,0,1,0,1.0,1,0,1,1,0,450000.0,0,0,0
3.0,2.0,1000.0,0,0,1,0,2.0,1,0,1,1,0,445000.0,0,0,0
1.0,1.0,434.0,0,0,0,5,1.0,0,0,0,0,0,205000.0,0,0,0
3.0,2.0,750.0,0,0,0,3,1.0,0,0,0,0,0,135000.0,0,0,0
2.0,1.0,525.0,0,0,0,3,1.0,0,0,0,0,0,120000.0,0,0,0
3.0,2.0,929.0,0,0,1,0,2.0,0,0,0,0,0,290000.0,0,0,0
3.0,3.0,1515.0,0,0,0,1,1.0,0,0,0,0,0,550000.0,0,0,0
3.0,2.0,1350.0,0,0,0,5,2.0,0,0,0,0,0,548000.0,0,0,0
3.0,2.0,1065.0,0,0,0,5,1.0,0,0,0,0,0,350000.0,0,0,0
2.0,2.0,876.0,0,0,1,1,1.0,0,0,0,0,0,350000.0,0,0,0
3.0,2.0,1066.0,1,0,0,1,2.0,0,0,0,1,0,560000.0,0,0,0
1.0,1.0,678.0,0,0,1,1,1.0,0,0,0,0,0,245000.0,0,0,0
3.0,2.0,850.0,0,0,1,0,1.0,0,0,0,0,0,298000.0,0,0,0
3.0,2.0,753.0,0,0,0,5,2.0,0,0,0,0,0,650000.0,0,0,0
6.0,5.0,2896.0,0,0,0,4,1.0,0,0,0,0,0,1095000.0,0,0,0
3.0,2.0,1001.0,0,0,0,0,1.0,0,0,0,0,0,200000.0,0,0,0
3.0,3.0,1654.0,0,0,0,1,2.0,0,0,0,0,0,437400.0,0,0,0
3.0,3.0,1668.0,0,0,0,1,2.0,0,0,0,0,0,620000.0,0,0,0
3.0,2.0,861.0,0,0,0,0,1.0,0,0,0,0,0,290000.0,0,0,0
3.0,2.0,1053.0,0,0,0,0,2.0,0,0,0,0,0,225500.0,0,0,0
3.0,2.0,1081.0,1,0,0,1,2.0,1,0,1,1,0,465500.0,0,0,0
