Actual Price,Predicted Price
349000.0,192883.08281778856
539000.0,418152.97313214396
715000.0,655833.5010748293
460000.0,484762.65560440987
590000.0,459053.30789303547
105000.0,192883.08281778856
360000.0,418152.97313214396
2500000.0,2945109.8402513303
408000.0,443539.532124361
293000.0,359500.53371577134
260000.0,267650.6618949611
168000.0,267650.6618949611
740000.0,566637.3277978533
820000.0,502501.9980230076
400000.0,443539.532124361
155000.0,306410.68145026726
190000.0,267650.6618949611
600000.0,454226.26151511574
320000.0,423894.5885557508
200000.0,267650.6618949611
170000.0,275005.40967915393
340000.0,505391.61247826705
600000.0,190482.96756102628
155000.0,282766.65349916794
265000.0,369657.84686891915
550000.0,190482.96756102628
645000.0,455975.9673832877
430000.0,337804.3268244809
700000.0,655833.5010748293
300000.0,267650.6618949611
495000.0,337804.3268244809
299000.0,337804.3268244809
500000.0,655833.5010748293
446400.0,299383.04631891
570000.0,421740.4435341395
155000.0,338552.2637008083
355000.0,369657.84686891915
369000.0,455975.9673832877
420000.0,418152.97313214396
450000.0,306410.68145026726
275000.0,555139.3671706067
175000.0,267650.6618949611
340000.0,267650.6618949611
465000.0,518354.53417287616
520000.0,518354.53417287616
360000.0,267650.6618949611
410000.0,418152.97313214396
315000.0,299383.04631891
420000.0,299383.04631891
145000.0,282766.65349916794
200000.0,369657.84686891915
380000.0,418152.97313214396
738238.0,337804.3268244809
270000.0,267650.6618949611
500000.0,357773.027875324
221000.0,267650.6618949611
325000.0,306410.68145026726
290000.0,357773.027875324
300000.0,418152.97313214396
400000.0,359500.53371577134
138000.0,275005.40967915393
245000.0,299383.04631891
520000.0,418152.97313214396
660000.0,471332.43945786916
145000.0,192883.08281778856
325000.0,267650.6618949611
170000.0,282766.65349916794
338000.0,518354.53417287616
466000.0,418152.97313214396
313000.0,267650.6618949611
260000.0,187482.88079072064
150000.0,202235.59288642736
380000.0,319070.8509178608
135000.0,202235.59288642736
320000.0,267650.6618949611
218000.0,299383.04631891
250000.0,282766.65349916794
570000.0,421740.4435341395
220000.0,267650.6618949611
2300000.0,1287906.4302470628
300000.0,518354.53417287616
750000.0,808939.3568715117
295000.0,357773.027875324
340000.0,467348.9236326585
165000.0,275005.40967915393
188000.0,267650.6618949611
630000.0,697039.9091209152
248000.0,357773.027875324
300000.0,299383.04631891
545000.0,469719.9080980076
140000.0,192883.08281778856
220000.0,434509.3160542895
380000.0,423894.5885557508
285000.0,350823.26389871765
300000.0,267650.6618949611
255000.0,357773.027875324
341500.0,347812.84143481386
240000.0,202235.59288642736
330000.0,418152.97313214396
482000.0,369657.84686891915
300000.0,299383.04631891
1200000.0,849603.9899607244
290000.0,418152.97313214396
170000.0,369657.84686891915
335000.0,517368.50691484124
142000.0,190482.96756102628
135000.0,192883.08281778856
280000.0,267650.6618949611
338000.0,455975.9673832877
598000.0,484762.65560440987
350000.0,423894.5885557508
250000.0,369657.84686891915
355000.0,421740.4435341395
400000.0,383472.8313681296
1059888.0,697039.9091209152
330000.0,332526.1661678233
345000.0,347812.84143481386
590000.0,359500.53371577134
288000.0,418152.97313214396
265000.0,306410.68145026726
